
Epoch [27] | Loss: 1.2734 | Accuracy: 47.70% (12803263.py:30)

Epoch [28] | Loss: 1.2655 | Accuracy: 48.12% (12803263.py:30)

Epoch [29] | Loss: 1.2576 | Accuracy: 48.92% (12803263.py:30)

Epoch [30] | Loss: 1.2538 | Accuracy: 48.81% (12803263.py:30)

Epoch [31] | Loss: 1.2482 | Accuracy: 48.94% (12803263.py:30)

Epoch [32] | Loss: 1.2456 | Accuracy: 49.60% (12803263.py:30)

Epoch [33] | Loss: 1.2425 | Accuracy: 49.09% (12803263.py:30)

Epoch [34] | Loss: 1.2324 | Accuracy: 50.01% (12803263.py:30)

Epoch [35] | Loss: 1.2286 | Accuracy: 50.04% (12803263.py:30)

Epoch [36] | Loss: 1.2200 | Accuracy: 50.76% (12803263.py:30)

Epoch [37] | Loss: 1.2150 | Accuracy: 50.71% (12803263.py:30)

Epoch [38] | Loss: 1.2111 | Accuracy: 50.93% (12803263.py:30)

Epoch [39] | Loss: 1.2083 | Accuracy: 50.85% (12803263.py:30)

Epoch [40] | Loss: 1.2064 | Accuracy: 50.80% (12803263.py:30)

Epoch [41] | Loss: 1.2001 | Accuracy: 51.36% (12803263.py:30)

Epoch [42] | Loss: 1.1992 | Accuracy: 51.55% (12803263.py:30)

Epoch [43] | Loss: 1.1987 | Accuracy: 51.09% (12803263.py:30)

Epoch [44] | Loss: 1.1923 | Accuracy: 51.35% (12803263.py:30)

Epoch [45] | Loss: 1.1841 | Accuracy: 51.68% (12803263.py:30)

Epoch [46] | Loss: 1.1859 | Accuracy: 51.78% (12803263.py:30)

Epoch [47] | Loss: 1.1768 | Accuracy: 52.37% (12803263.py:30)

Epoch [48] | Loss: 1.1784 | Accuracy: 51.97% (12803263.py:30)

Epoch [49] | Loss: 1.1775 | Accuracy: 52.07% (12803263.py:30)

Epoch [50] | Loss: 1.1688 | Accuracy: 52.35% (12803263.py:30)
